Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0.7783,Tue Mar 27 23:10:06 +0000 2018,0.0,0.698,0.302,100,@BBC
0.0,Tue Mar 27 23:10:07 +0000 2018,0.0,1.0,0.0,99,@BBC
0.0,Tue Mar 27 23:10:46 +0000 2018,0.0,1.0,0.0,98,@BBC
0.0,Tue Mar 27 23:10:59 +0000 2018,0.0,1.0,0.0,97,@BBC
0.0,Tue Mar 27 23:11:04 +0000 2018,0.0,1.0,0.0,96,@BBC
0.846,Tue Mar 27 23:11:11 +0000 2018,0.0,0.575,0.425,95,@BBC
0.2732,Tue Mar 27 23:11:36 +0000 2018,0.0,0.909,0.091,94,@BBC
0.0,Tue Mar 27 23:11:47 +0000 2018,0.0,1.0,0.0,93,@BBC
-0.2244,Tue Mar 27 23:11:49 +0000 2018,0.261,0.561,0.178,92,@BBC
0.0,Tue Mar 27 23:11:51 +0000 2018,0.0,1.0,0.0,91,@BBC
0.0,Tue Mar 27 23:12:04 +0000 2018,0.0,1.0,0.0,90,@BBC
0.0,Tue Mar 27 23:12:04 +0000 2018,0.0,1.0,0.0,89,@BBC
0.6597,Tue Mar 27 23:12:04 +0000 2018,0.0,0.787,0.213,88,@BBC
0.0,Tue Mar 27 23:12:14 +0000 2018,0.0,1.0,0.0,87,@BBC
0.0,Tue Mar 27 23:12:17 +0000 2018,0.0,1.0,0.0,86,@BBC
0.0,Tue Mar 27 23:12:46 +0000 2018,0.0,1.0,0.0,85,@BBC
-0.4767,Tue Mar 27 23:13:09 +0000 2018,0.147,0.853,0.0,84,@BBC
0.0,Tue Mar 27 23:13:30 +0000 2018,0.0,1.0,0.0,83,@BBC
-0.4767,Tue Mar 27 23:13:52 +0000 2018,0.14,0.86,0.0,82,@BBC
0.0,Tue Mar 27 23:13:54 +0000 2018,0.0,1.0,0.0,81,@BBC
0.2732,Tue Mar 27 23:14:07 +0000 2018,0.0,0.909,0.091,80,@BBC
0.0,Tue Mar 27 23:14:17 +0000 2018,0.0,1.0,0.0,79,@BBC
0.0,Tue Mar 27 23:14:28 +0000 2018,0.0,1.0,0.0,78,@BBC
0.6597,Tue Mar 27 23:14:29 +0000 2018,0.0,0.787,0.213,77,@BBC
0.0,Tue Mar 27 23:14:31 +0000 2018,0.0,1.0,0.0,76,@BBC
0.0,Tue Mar 27 23:14:32 +0000 2018,0.0,1.0,0.0,75,@BBC
0.0,Tue Mar 27 23:14:45 +0000 2018,0.0,1.0,0.0,74,@BBC
0.0516,Tue Mar 27 23:15:10 +0000 2018,0.237,0.517,0.246,73,@BBC
0.0,Tue Mar 27 23:15:38 +0000 2018,0.0,1.0,0.0,72,@BBC
-0.4767,Tue Mar 27 23:15:43 +0000 2018,0.14,0.86,0.0,71,@BBC
0.0,Tue Mar 27 23:15:55 +0000 2018,0.0,1.0,0.0,70,@BBC
0.2944,Tue Mar 27 23:16:05 +0000 2018,0.119,0.72,0.162,69,@BBC
0.0,Tue Mar 27 23:16:08 +0000 2018,0.0,1.0,0.0,68,@BBC
-0.5362,Tue Mar 27 23:16:14 +0000 2018,0.141,0.859,0.0,67,@BBC
0.0,Tue Mar 27 23:16:26 +0000 2018,0.0,1.0,0.0,66,@BBC
-0.4767,Tue Mar 27 23:16:37 +0000 2018,0.14,0.86,0.0,65,@BBC
0.4215,Tue Mar 27 23:17:11 +0000 2018,0.0,0.781,0.219,64,@BBC
0.0,Tue Mar 27 23:17:21 +0000 2018,0.0,1.0,0.0,63,@BBC
-0.872,Tue Mar 27 23:17:28 +0000 2018,0.343,0.657,0.0,62,@BBC
-0.5789,Tue Mar 27 23:17:34 +0000 2018,0.212,0.687,0.101,61,@BBC
0.0,Tue Mar 27 23:17:45 +0000 2018,0.0,1.0,0.0,60,@BBC
-0.4767,Tue Mar 27 23:17:48 +0000 2018,0.14,0.86,0.0,59,@BBC
0.0,Tue Mar 27 23:17:56 +0000 2018,0.0,1.0,0.0,58,@BBC
0.7096,Tue Mar 27 23:18:20 +0000 2018,0.093,0.595,0.312,57,@BBC
-0.2755,Tue Mar 27 23:18:28 +0000 2018,0.123,0.877,0.0,56,@BBC
-0.4767,Tue Mar 27 23:18:30 +0000 2018,0.14,0.86,0.0,55,@BBC
0.0,Tue Mar 27 23:19:12 +0000 2018,0.0,1.0,0.0,54,@BBC
0.0,Tue Mar 27 23:19:50 +0000 2018,0.0,1.0,0.0,53,@BBC
0.0,Tue Mar 27 23:20:16 +0000 2018,0.0,1.0,0.0,52,@BBC
0.0,Tue Mar 27 23:20:48 +0000 2018,0.0,1.0,0.0,51,@BBC
0.7783,Tue Mar 27 23:10:06 +0000 2018,0.0,0.698,0.302,50,@BBC
0.0,Tue Mar 27 23:10:07 +0000 2018,0.0,1.0,0.0,49,@BBC
0.0,Tue Mar 27 23:10:46 +0000 2018,0.0,1.0,0.0,48,@BBC
0.0,Tue Mar 27 23:10:59 +0000 2018,0.0,1.0,0.0,47,@BBC
0.0,Tue Mar 27 23:11:04 +0000 2018,0.0,1.0,0.0,46,@BBC
0.846,Tue Mar 27 23:11:11 +0000 2018,0.0,0.575,0.425,45,@BBC
0.2732,Tue Mar 27 23:11:36 +0000 2018,0.0,0.909,0.091,44,@BBC
0.0,Tue Mar 27 23:11:47 +0000 2018,0.0,1.0,0.0,43,@BBC
-0.2244,Tue Mar 27 23:11:49 +0000 2018,0.261,0.561,0.178,42,@BBC
0.0,Tue Mar 27 23:11:51 +0000 2018,0.0,1.0,0.0,41,@BBC
0.0,Tue Mar 27 23:12:04 +0000 2018,0.0,1.0,0.0,40,@BBC
0.0,Tue Mar 27 23:12:04 +0000 2018,0.0,1.0,0.0,39,@BBC
0.6597,Tue Mar 27 23:12:04 +0000 2018,0.0,0.787,0.213,38,@BBC
0.0,Tue Mar 27 23:12:14 +0000 2018,0.0,1.0,0.0,37,@BBC
0.0,Tue Mar 27 23:12:17 +0000 2018,0.0,1.0,0.0,36,@BBC
0.0,Tue Mar 27 23:12:46 +0000 2018,0.0,1.0,0.0,35,@BBC
-0.4767,Tue Mar 27 23:13:09 +0000 2018,0.147,0.853,0.0,34,@BBC
0.0,Tue Mar 27 23:13:30 +0000 2018,0.0,1.0,0.0,33,@BBC
-0.4767,Tue Mar 27 23:13:52 +0000 2018,0.14,0.86,0.0,32,@BBC
0.0,Tue Mar 27 23:13:54 +0000 2018,0.0,1.0,0.0,31,@BBC
0.2732,Tue Mar 27 23:14:07 +0000 2018,0.0,0.909,0.091,30,@BBC
0.0,Tue Mar 27 23:14:17 +0000 2018,0.0,1.0,0.0,29,@BBC
0.0,Tue Mar 27 23:14:28 +0000 2018,0.0,1.0,0.0,28,@BBC
0.6597,Tue Mar 27 23:14:29 +0000 2018,0.0,0.787,0.213,27,@BBC
0.0,Tue Mar 27 23:14:31 +0000 2018,0.0,1.0,0.0,26,@BBC
0.0,Tue Mar 27 23:14:32 +0000 2018,0.0,1.0,0.0,25,@BBC
0.0,Tue Mar 27 23:14:45 +0000 2018,0.0,1.0,0.0,24,@BBC
0.0516,Tue Mar 27 23:15:10 +0000 2018,0.237,0.517,0.246,23,@BBC
0.0,Tue Mar 27 23:15:38 +0000 2018,0.0,1.0,0.0,22,@BBC
